id;imie;nazwisko;email;jobTitle_id;departmentAddress_id
1;Barbara;Fibiana;rzepecka00@gmail.com;1;1
2;Barbara;Fornal;rzepecka00@gmail.com;2;2
3;Barbara;Griczan;rzepecka00@gmail.com;3;3
4;Barbara;Gruda;rzepecka00@gmail.com;4;4
5;Barbara;Jagiel;rzepecka00@gmail.com;5;5
6;Barbara;Jelikowska;rzepecka00@gmail.com;6;6
7;Barbara;Kiszewska;rzepecka00@gmail.com;1;7
8;Jadwiga;Bilecka;rzepecka00@gmail.com;2;8
9;Ewa;Masztaler;rzepecka00@gmail.com;3;9
10;Barbara;Mączyńska,rzepecka00@gmail.com;4;10
11;Ewa;Niemota;rzepecka00@gmail.com;5;11
12;Elwira;Policzawska;rzepecka00@gmail.com;6;12
13;Barbara;Sadurski;rzepecka00@gmail.com,1;13
14;Edward;Żeligowski;rzepecka00@gmail.com;1;14
15;Jadwiga;Chrilecka;rzepecka00@gmail.com;2;15
16;Jadwiga;Derilecka;rzepecka00@gmail.com;3;16
17;Jadwiga;Filbrecka;rzepecka00@gmail.com;4;17
18;Kalina;Filecka,rzepecka00@gmail.com,5,18
19;Jadwiga;Filoecka,rzepecka00@gmail.com;6;19
20;Jadwiga;Firlecka,rzepecka00@gmail.com;1;20
21;Jadwiga;Fulecka,rzepecka00@gmail.com,1,21
22;Bolesław;Bryński,rzepecka00@gmail.com,2,22
23;Katarzyna;Dawro;rzepecka00@gmail.com;3;23
24;Jolanta;Filecka;rzepecka00@gmail.com;4;24
25;Jadwiga;Gilecka;rzepecka00@gmail.com;5;25
26;Jadwiga,Jolecka;rzepecka00@gmail.com;6;26
27;Janusz,Kurant,rzepecka00@gmail.com,1;27
28;Jadwiga,Milecka,rzepecka00@gmail.com;1,28
29;Krystyna,Pilecki,rzepecka00@gmail.com;2;29
30;Krystyna,Policka,rzepecka00@gmail.com;3;30
31;Liliana;Ciupała;rzepecka00@gmail.com;4;31
32;Michał;Dertucha;rzepecka00@gmail.com;5;32
33;Michał;Dindo;rzepecka00@gmail.com;6;33
34;Michał;Fądecki;rzepecka00@gmail.com;1;34
35;Michał;Kureka;rzepecka00@gmail.com;2;35
36;Michał;Likary;rzepecka00@gmail.com;1;36
37;Mateusz;Likian;rzepecka00@gmail.com;2;37
38;Marek;Linda;rzepecka00@gmail.com;3;38
39;Michał;Lindak;rzepecka00@gmail.com;4;39
40;Franciszek;Lindarek;rzepecka00@gmail.com;5;40
41;Michał;Lipecki;rzepecka00@gmail.com;6;41
42;Krzysztof;Policki;rzepecka00@gmail.com;1;42
43;Krystyna;Polkowiak;rzepecka00@gmail.com;2;43
44;Marek;Sawek;rzepecka00@gmail.com;3;44
45;Michał;Szerka;rzepecka00@gmail.com;1;45
46;Michał;Wertyk;rzepecka00@gmail.com;2;46
47;Rafał;Bobek;rzepecka00@gmail.com;3;47
48;Robert;Bobekowski;rzepecka00@gmail.com;4;48
49;Rafał;Bobikowski;rzepecka00@gmail.com;5;49
50;Rafał;Brobek;rzepecka00@gmail.com;6;50
51;Robert;Dido;rzepecka00@gmail.com;1;51
52;Rafał;Dobek;rzepecka00@gmail.com;2;52
53;Andrzej;Drozda;rzepecka00@gmail.com;3;53
54;Robert;Dwernik;rzepecka00@gmail.com;4;54
55;Rafał;Forbek;rzepecka00@gmail.com;5;55
56;Rafał;Fraczyński;rzepecka00@gmail.com;6;56
57;Rafał;Grater;rzepecka00@gmail.com;1;57
58;Pelagia;Greczyn;rzepecka00@gmail.com;2;58
59;Robert;Jawlik;rzepecka00@gmail.com;3;59
60;Rafał;Kobek;rzepecka00@gmail.com;4;60
61;Robert;Liczak;rzepecka00@gmail.com;5;61
62;Robert;Moczydło;rzepecka00@gmail.com;6;62
63;Robert;Palancik;rzepecka00@gmail.com;1;63
64;Paweł;Palek;rzepecka00@gmail.com;2;64
65;Paweł;Policzewski;rzepecka00@gmail.com;3;1
66;Andrzej;Robek;rzepecka00@gmail.com;4;2
67;Robert;Sulik;rzepecka00@gmail.com;5;3
68;Rafał;Wobe;rzepecka00@gmail.com;6;4
69;Stefan;Janicki;rzepecka00@gmail.com;1;5
70;Tadeusz;Komasa;rzepecka00@gmail.com;2;6
71;Michał;Komor;rzepecka00@gmail.com;3;7
72;Robert;Sulikowski;rzepecka00@gmail.com;4;8
73;Robert;Surma;rzepecka00@gmail.com;5;9
74;Robert;Surmak;rzepecka00@gmail.com;6;10
75;Robert;Wyszon;rzepecka00@gmail.com;1;11
76;Robert;Zamek;rzepecka00@gmail.com;2;12
77;Wiktor;Brudziak;rzepecka00@gmail.com;3;13
78;Wiktor;Dudziak;rzepecka00@gmail.com;4;14
79;Wiktor;Hryczyński;rzepecka00@gmail.com;5;15
80;Andrzej;Jadziak;rzepecka00@gmail.com;6;16
81;Wiktor;Jobda;rzepecka00@gmail.com;1;17
82;Wiktor;Karolik;rzepecka00@gmail.com;2;18
83;Tadeusz;Komorak;rzepecka00@gmail.com;3;19
84;Tadeusz;Komorna;rzepecka00@gmail.com;4;20
85;Michał;Komornicki;rzepecka00@gmail.com;1;21
86;Tadeusz;Komorników;rzepecka00@gmail.com;2;22
87;Michał;Komos;rzepecka00@gmail.com;3;23
88;Tadeusz;Kowalski;rzepecka00@gmail.com;4;24
89;Wiktor;Krupicki;rzepecka00@gmail.com;5;25
90;Wiktor;Labuda;rzepecka00@gmail.com;6;26
91;Wiktor;Prószak;rzepecka00@gmail.com;1;27
92;Tadeusz;Tomora;rzepecka00@gmail.com;2;28
93;Tadeusz;Twomicki;rzepecka00@gmail.com;3;29
94;Tadeusz;Womor;rzepecka00@gmail.com;4;30
95;Tadeusz;Zomornik;rzepecka00@gmail.com;5;31
96;Zbigniew;Grawik;rzepecka00@gmail.com;6;32
97;Zbigniew;Hrubek;rzepecka00@gmail.com;1;33
98;Zbigniew;Kąkol;rzepecka00@gmail.com;2;34
99;Wiktor;Suwald;rzepecka00@gmail.com;3;35
100;Wiktor;Zamłcki;rzepecka00@gmail.com;4;36
101;Zbigniew;Liczaba;rzepecka00@gmail.com;5;37
102;Zbigniew;Mąkol;rzepecka00@gmail.com;6;38
103;Zbigniew;Rudak;rzepecka00@gmail.com;1;39
104;Zbigniew;Sulik;rzepecka00@gmail.com;2;40
105;Zbigniew;Trewirek;rzepecka00@gmail.com;3;41
106;Zbigniew;Twardzioch;rzepecka00@gmail.com;4;42
107;Andrzej;Twarnowski;rzepecka00@gmail.com;1;43
108;Zbigniew;Żeligowski;rzepecka00@gmail.com;2;44
109;Rafał;Komasa;rzepecka00@gmail.com;3;45
110;Pelagia;Komor;rzepecka00@gmail.com;4;46
111;Robert;Sulikowski;rzepecka00@gmail.com;5;47
112;Rafał;Surma;rzepecka00@gmail.com;6;48
113;Robert;Surmak;rzepecka00@gmail.com;1;49
